PERIODO,PIA,PIM,DEVENGADO,PIA_EDUCACION,PIM_EDUCACION,DEVENGADO_EDUCACION,PIB_NOMINAL,EDUCACION_PRESUPUESTO,EDUCACION_PIB
2015,130621290973,152888949577,135156213814.44,20664467634,23689522017,21173506150.7,619266702925,15.7,3.4
2016,138490511244,158282217927,136631542525.56999,23204098780,25233259716,22164274272.08,671540048004,16.2,3.3
2017,142471518545,176300549759,149979218110.12,24011682493,27665176585,25012283681.52,715843273075,16.7,3.5
2018,157158747651,187500601626,159426812052.91,25664710354,28444658932,25699532004.08,755459080073,16.1,3.4
2019,168074407244,188571789836,161079112329.38998,28685121408,30168651937,27301743548.54,788901486620,16.9,3.5
2020,177367859707,217254208912,182462771648.16998,29149147538,31417417058,27533584806.12,734007177646,15.1,3.8
2021,183029770158,227932217391,198819957297.41998,30753291849,34687639051,31354887041.02,892213286351,15.8,3.5
2022,197002269014,238070181438,209327391946.06,32177681889,37018139732,33594451338.97,952241530065,16,3.5
2023,214790274052,249946702466,223054446794.58,40244030771,42905974115,39342359444.57,1018443447971,17.6,3.9
2024,240806216645,262058019205,238896702037.49,43854911727,46724576349,44005973418.96,1108808792771,18.4,4
2025,251801045185,272455325512,253168490132.84,44396270880,47606711940,44670637768.62,1210596732836,17.6,3.7
2026,257561619143,268205000804,62398075887.5,46327861361,47230510817,11299496596.77,NA,18.1,NA
